id,nome,pais_original,pais_corrigido,nearest_cc,nearest_city,latitude,longitude,dist_km,hotel_count,status,nota
14271,Port Aransas,MX,US,US,Aransas Pass,27.833218,-97.06183,12.1,16,OK,
14311,Portillo,AR,BO,BO,Tarija,-21.563011,-64.66617,7.2,3,OK,
14359,Portstewart,IE,GB,GB,Omagh,54.436966,-7.112488,21.8,15,Revisar (distância alta),
14370,Port Vincent,AU,HT,HT,Saint-Louis du Nord,20.007448,-72.733025,8.3,7,OK,
14371,Port Wakefield,AU,ES,ES,Arona,28.05203,-16.71774,6.4,9,OK,
14433,Prespa (Greece),GR,AL,AL,Bilisht,40.74355,21.112316,16.5,15,Revisar (distância alta),
14443,Primorsko,TR,BG,BG,Tsarevo,42.269867,27.750618,13.6,3,OK,
14444,Primorsky Krai,CN,RU,RU,Dalnegorsk,45.081947,134.72664,91.5,3,Revisar (distância alta),
14520,Puerto Montt,AR,ES,ES,Arroyo de la Miel,36.59844,-4.5104,2.2,11,OK,
14524,Puerto Obaldia,CO,PA,PA,Unión Chocó,8.667056,-77.419624,66.1,4,Revisar (distância alta),
14543,Punakaiki,NZ,IT,IT,Modena,44.63799,10.89211,2.9,28,OK,
14588,Pyongan,CN,KP,KP,Sunch’ŏn,39.54165,126.064766,16.7,11,Revisar (distância alta),
14591,Pyrénées-Orientales,ES,FR,FR,Prades,42.625893,2.506509,7.0,1,OK,
14754,Rannoch Moor,IE,GB,GB,Fort William,56.674007,-4.694606,30.0,13,Revisar (distância alta),
14794,Rødby,DE,DK,DK,Maribo,54.694065,11.390221,11.6,12,OK,
14805,Reñaca,AR,CL,CL,Viña del Mar,-32.971535,-71.54372,5.9,1,OK,
14810,Redang,MY,ID,ID,Kuala Cenaku,-0.336079,102.4337,31.5,11,Revisar (distância alta),
14862,Republic of the Congo,FR,CG,CG,Owando,-0.726433,15.641915,39.5,1,Revisar (distância alta),
14872,Retzer Land,AT,DE,DE,Eisenhüttenstadt,52.092873,14.646842,6.4,8,OK,
14908,Richland,JP,US,US,Olney,38.706047,-88.09493,2.9,28,OK,
14990,Riverside County,CA,US,US,Coachella,33.722,-116.03725,13.5,1,OK,
15112,Rosslare,ES,IE,IE,Wexford,52.273567,-6.386903,8.3,14,OK,
15143,Roxbury (Maine),MX,US,US,Paris,44.669617,-70.59371,46.2,3,Revisar (distância alta),
15145,Royal Natal National Park,ZA,AU,AU,Helensburgh,-34.170338,151.0524,5.3,14,OK,
15173,Russell (New Zealand),AU,NZ,NZ,Kerikeri,-35.26179,174.12154,16.3,14,Revisar (distância alta),
15179,Rust,AT,DE,DE,Ettenheim,48.265934,7.726321,6.5,8,OK,
15205,Sabah,ID,MY,MY,Ranau,5.425736,117.03264,71.5,4,Revisar (distância alta),
15213,Sabine Hills,IT,US,US,Jasper,31.27352,-93.78046,44.4,1,Revisar (distância alta),
15234,Sagay,US,PH,PH,Lopez Jaena,10.896069,123.41546,5.4,5,OK,
15278,Saint John (U.S. Virgin Islands),ES,VI,VI,Cruz Bay,18.335602,-64.75504,4.1,11,OK,
15287,Saint-Louis-du-Ha! Ha!,CA,ES,ES,Calp,38.6783,0.08935,5.4,7,OK,
15321,Sakhalin,JP,RU,RU,Smirnykh,50.159477,143.02644,48.0,8,Revisar (distância alta),
15396,Samnaun,IT,AT,AT,Landeck,46.94364,10.35961,26.8,7,Revisar (distância alta),
15403,Samothrace,GR,TR,TR,Gökçeada,40.474434,25.524815,44.5,35,Revisar (distância alta),
15412,Samye,IN,CN,CN,Lhoka,29.326038,91.5078,27.3,7,Revisar (distância alta),
15464,Sandspit,CA,NZ,NZ,Warkworth,-36.39308,174.72758,5.5,14,OK,
15515,San Jon,MX,US,US,Tucumcari,35.106434,-103.33094,36.7,22,Revisar (distância alta),
15683,Sark,GB,GG,GG,Saint Peter Port,49.435165,-2.359599,13.0,11,OK,
15711,Saugerties,BR,US,US,Kingston,42.07759,-73.95291,17.1,5,Revisar (distância alta),
15767,Sälen,NO,SE,SE,Mora,61.155724,13.269409,70.5,12,Revisar (distância alta),
15775,Súðavík,GB,IS,IS,Ísafjörður,65.90362,-22.995558,20.0,2,Revisar (distância alta),
