id,nome,pais_code,hotelCount
13511,"Ouidah",TR,7
18296,"Waipukurau",NZ,7
28091,"Phu Toei National Park",TH,7
21829,"Bohemian Switzerland National Park",DE,7
26838,"E69",NO,7
19898,"Stuart Island",CA,7
25552,"Zirc",HU,7
18482,"Wellingborough",FR,7
19454,"Marakele National Park",ZA,7
1320,"Parque Nacional de Comoé",PT,7
22382,"Dugi Otok",HR,7
28288,"Chapleau",CA,7
23256,"Sandane",NO,7
7973,"Glenorchy",NZ,7
19165,"Muurame",FI,7
17315,"Thenmala",IN,7
12899,"Güzelyurt (Northern Cyprus)",TR,7
26178,"Jorgucat",GR,7
3045,"Alderney",FR,7
19487,"Pom Pom Island",MY,7
17301,"Thaton (Thailand)",TH,7
22815,"Kaechon",KR,7
22363,"Rengasdengklok",JP,7
27159,"Castellnou de Seana",ES,7
22115,"Grenå",SE,7
23874,"Thandwe",MM,7
1400,"Phuentsholing",PT,7
15247,"Saimaa",FI,7
1330,"Parque Nacional de Nahanni",PT,7
13450,"Oryol",UA,7
22967,"Celts",ES,7
6934,"East Estonia",RU,6
11257,"Madidi National Park",PE,6
23281,"Laiyuan County",CN,6
13113,"Northwest Washington",CA,6
28364,"Krnov",PL,6
26723,"Neom",EG,6
21619,"Bai Tu Long Bay",VN,6
16431,"Southeastern Alaska",CA,6
4363,"Big White",CA,6
14935,"Riederalp-Bettmeralp",CH,6
15397,"Sam Neua",VN,6
21326,"Mapungubwe National Park",ZA,6
21212,"Curacautín",CL,6
10083,"Ko Bulon Leh",TH,6
25263,"Dharug National Park",AU,6
26391,"Maurya Empire",CN,6
7960,"Glencolmcille",IE,6
26566,"Amatikulu Nature Reserve",ZA,6
19359,"Rutherglen (Victoria)",AU,6
6905,"Eagle Nest",MX,6
21572,"Albenga",FR,6
19259,"Diving at Three Kings Islands",NZ,6
10580,"Lao Cai",CN,6
26267,"Vårdö",FI,6
27984,"Zingaro Nature Reserve",IT,6
21519,"Streaky Bay",AU,6
26347,"Commerce (Georgia)",US,6
28350,"Fountains",NZ,6
19008,"Yukon - Charley Rivers National Preserve",CA,6
22002,"Reinhardswald",DE,6
20428,"Jasmund National Park",DE,6
8789,"Hoedspruit",ZA,6
26904,"East Central Finland",FI,6
9750,"Kawarthas",CA,6
23669,"Travel literature",JP,6
23101,"Uranium City",CA,6
4139,"Belen",MX,6
22171,"Karesuvanto",IT,6
18006,"Valtimo",FI,6
26246,"Multia",FI,6
22158,"Anambas",CN,6
20046,"Älvkarleby",SE,6
26380,"Alberto de Agostini National Park",CL,6
24365,"Puerto Williams",AR,6
25267,"Hunter Wetlands National Park",AU,6
14807,"Recaș",RO,6
18519,"Western Arizona",MX,6
26659,"Franklin (Tasmania)",AU,6
11025,"Long Bay",NZ,6
27368,"Langøya",NO,6
26848,"Kragerø",NO,6
2985,"Ako",JP,6
11567,"Marlinton",TR,6
2106,"Vila Nova Sintra",PT,6
28258,"Mahjong",GB,6
20464,"Mpande",ZA,6
27454,"Licheń Stary",PL,6
28099,"Northwest Tyrol",IT,6
19418,"Mark Twain National Forest",TR,6
26590,"Xochicalco",MX,6
26302,"Tweedsmuir Provincial Park",CA,6
15261,"Sainte-Anne-des-Lacs",CA,6
27503,"Horinger",CN,6
26029,"Viitasaari",NO,6
16859,"Supraśl",PL,6
15731,"Saxon Elbland",CH,6
20566,"Niepołomice",PL,6
188,"Bahariyya",GB,6
27230,"Workers’ Assembly Halls",AU,6
27685,"Idlib",TR,6
27189,"Regimental Museums",GB,6
23744,"ǁKaras",ZA,6
7500,"Florida Panhandle",MX,5
21041,"Săpânța",RO,5
5494,"Central Newfoundland",CA,5
140,"Argel",DZ,5
27126,"Woodland Park",BR,5
11893,"Miami-Dade County",AU,5
15952,"Seyðisfjörður",DK,5
28035,"Enfidha",TN,5
20091,"Båstad",SE,5
27940,"Jämtlandsleden",SE,5
17307,"The Forest Way",GB,5
28094,"Namtok Chet Sao Noi National Park",TH,5
26226,"Jacobabad",IN,5
15267,"Saint George (Florida)",MX,5
26471,"Tombstone Territorial Park",CA,5
24701,"Haytor Vale",GB,5
22482,"Songnisan National Park",KR,5
25632,"Altar Valley",MX,5
3761,"Bakhchysarai",TR,5
19522,"Diving the Alderman Islands",NZ,5
1348,"Parque Nacional dos Everglades",PT,5
26324,"Pribaikalsky National Park",CA,5
24699,"Patara",TR,5
20316,"Minerve",FR,5
26211,"Keitele",FI,5
2027,"Vitória (Canadá)",PT,5
27520,"Cerro Castor",AR,5
28466,"Street-running trains",VN,5
15241,"Saharan Morocco",MA,5
15579,"Santa Barbara County",EG,5
20604,"Marado Island",KR,5
