hotel_id,nome,old_destino_id,pais_code,razao
327963,National Slate Museum,25060,,
327964,"Manufaktura, Museum of the Factory",25060,,
330057,Flashman,25216,,
330061,Flashman's Lady,25216,,
330062,[[Singapore]],25216,SG,bracket
330064,Flashman and the Mountain of Light,25216,,
330069,[[New Orleans]],25216,US,bracket
330070,Flashman and the Redskins,25216,,
330072,[[Santa Fe Trail]],25216,,
330074,Flashman at the Charge,25216,,
330078,Flashman in the Great Game,25216,,
330079,Rani Lakshmibai,25216,,
330084,Flashman and the Angel of the Lord,25216,,
330085,Flashman and the Dragon,25216,,
330088,[[Beijing/Haidian#Old_Summer_Palace,25216,,
330089,Flashman on the March,25216,,
330093,Flashman and the Tiger,25216,,
330094,[[Dundee_(KwaZulu-Natal)#Isandlwana Battlefield,25216,,
340480,Blackbeard's Castle,26130,,
340481,Christiansted National Historic Site,26130,VI,cidade
340482,Fort Christian,26130,,
340483,Fort Frederik,26130,,
340484,Creque Marine Railway,26130,,
340485,St Olaf's Church,26130,,
340486,National Museum of the Faroe Islands,26130,,
340487,Saint Olav's Church,26130,,
340488,Skansin,26130,,
340489,Tórshavn Cathedral,26130,,
340490,Fort Augustaborg,26130,,
340491,Fort Christiansborg,26130,,
340492,Fort Fredensborg,26130,,
340493,Fort Kongenstein,26130,,
340494,Fort Prinzenstein,26130,,
340495,Básendar,26130,,
340496,Eskifjörður,26130,,
340497,Nicobar Islands,26130,,
340498,Danmarksnagore,26130,,
340499,[[Tranquebar,26130,,
340500,Akershus Fortress,26130,,
340501,Kristiansten Fortress,26130,,
340502,Fredriksten Fortress,26130,,
340503,[[Lund]],26130,SE,bracket
340504,[[Kirkwall]],26130,GB,bracket
345217,[[Aachen]],26544,DE,bracket
345218,Iesi,26544,,
345219,[[Vienna]],26544,AT,bracket
345220,[[Worms]],26544,DE,bracket
345221,[[Prague]],26544,CZ,bracket
345460,Branch Brook Park,26571,,
345463,Waterlands Park,26571,,
345464,South Orange Performing Arts Center (SOPAC),26571,,
345468,Cryan's,26571,,
345469,Gas Light Brewery & Restaurant,26571,,
345470,Neelam Exotic Indian Cuisine,26571,IN,pais
345471,Reservoir Restaurant,26571,,
345474,Chris's Texas Weiner Family Restaurant,26571,,
345478,Courtyard West Orange,26571,,
346080,Naturpark Attersee-Traunsee,26640,,
346081,Vrani kamen,26640,,
346082,Jelsa,26640,,
346083,[[Anholt]],26640,SE,bracket
346084,Bulbjerg,26640,,
346085,Mandø,26640,,
346086,[[Møn]] and Nyord,26640,,
346087,[[Cévennes National Park]],26640,,
346088,[[Millevaches Natural Regional Park]],26640,,
346089,[[Morvan Regional Natural Park]],26640,FR,bracket
346090,Regional Natural Park of [[Vercors]],26640,FR,bracket
346091,[[Bavarian Forest National Park]],26640,CZ,bracket
346092,[[Eifel National Park]],26640,,
346093,Winklmoosalm,26640,,
346094,Aenos National Park,26640,,
346095,[[Bükk]] Mountains,26640,,
346096,[[Hortobágy]] National Park,26640,,
346097,Zselic Starry Sky Park,26640,,
346098,De Boschplaat,26640,,
346099,Lauwersmeer National Park,26640,,
346100,Artis (zoo),26640,,
346101,Øvre Pasvik National Park,26640,,
346102,Gantrisch Regional Nature Park,26640,,
346640,Science Museum of Long Island,26699,,
346641,Plandome Country Club,26699,,
346642,Plandome Heights Village Preserve,26699,,
346643,Plandome Pond Park,26699,,
346644,Plandome Village Hall,26699,,
347606,[[Lake Nakuru National Park]],26807,KE,bracket
347607,Mai Po Marshes,26807,,
347608,[[Bhitarkanika Mangroves]],26807,,
347609,Bhoj Wetland,26807,,
347610,Chandra Taal,26807,,
347611,[[Chilika Lake]],26807,IN,bracket
347612,Deepor Beel,26807,,
347613,East Calcutta Wetlands,26807,,
347614,Gulf of Mannar Marine Biosphere Reserve,26807,,
347615,Hirakud Reservoir,26807,,
347616,Karikili Bird Sanctuary,26807,,
347617,[[Kerala Backwaters]],26807,IN,bracket
347618,Pallikaranai Wetland,26807,,
347619,Point Calimere Wildlife and Bird Sanctuary,26807,,
347620,Runn of Kutch,26807,,
347621,[[Sundarbans]],26807,,
347622,Thane Creek,26807,IN,cidade
347623,Vedanthangal Bird Sanctuary,26807,,
347624,[[Olango_Island#Olango Wildlife Sanctuary,26807,,
347625,Akyatan Lagoon,26807,,
347626,[[Izmir#Q6043373,26807,,
347627,[[Silifke#See,26807,,
347628,[[Kızılırmak Delta Bird Reserve,26807,,
347629,Kızören Sinkhole,26807,,
347630,[[Burdur,26807,,
347631,[[Bandırma#Bird Paradise National Park,26807,,
347632,Lake Kuyucuk,26807,GB,pais
347633,Lake Meke,26807,,
347634,[[Tatvan#Q948747,26807,,
347635,Lake Seyfe,26807,,
347636,Lake Uluabat,26807,,
347637,Sultan Marshes,26807,,
347638,[[Yumurtalık,26807,,
347639,Lake Lachua,26807,,
347640,Jeannette Kawas National Park,26807,,
347641,Cuatrociénegas,26807,,
347642,Huatulco,26807,MX,cidade
347643,Lago de Pátzcuaro,26807,,
347644,El Mogote Wetlands,26807,,
347645,Islas Marietas,26807,,
349722,Nirox Sculpture Park,27015,,
349723,Hakone Open Air Museum,27015,JP,cidade
349724,Changchun World Sculpture Park,27015,CN,cidade
