== Resumo Geral,,
Total,415052,
3,tbo+geo_from_dest+wikivoyage-listing,2
3,geo_from_dest+wikivoyage-en,2
3,gmaps_scraper+geo_from_dest,2
3,hotel_centroid+geonames_htl,2
3,wikivoyage-en+global-hotels-2026,2
3,rejected_geo+local+geo_from_dest,1
3,geo_from_dest+geonames_htl+local,1
3,geo_from_dest+tbo+wikivoyage-listing,1
3,geo_not_found+tbo+geo_from_dest,1
3,geo_from_dest+wikivoyage-pt,1
3,geonames_htl+tbo,1
3,wikivoyage-pt+geo_from_dest+geonames_htl,1
3,geonames_htl+geo_not_found,1
3,geonames_htl+gmaps_not_found,1
3,geonames_htl+osm+wikivoyage-listing,1
3,wikivoyage-en+tbo+wikivoyage-listing,1
3,tbo+geo_not_found,1
3,geo_found+tbo+geo_from_dest,1
3,turad+geonames_htl+geo_from_dest,1
3,osm+geonames_htl,1
3,rejected_geo+geonames_htl+geo_from_dest,1
4,geo_from_dest,225
4,turad,116
4,geonames_htl,65
4,hotel_centroid,44
4,geo_found,29
4,local,22
4,tbo,10
4,wikivoyage-en+geo_from_dest,6
4,geo_found+geo_from_dest,4
4,(null),4
4,wikivoyage-en,4
4,geo_not_found,2
4,geo_from_dest+wikivoyage-listing,2
4,geo_found+geo_from_dest+geonames_htl,2
4,osm,2
4,turad+geo_from_dest+geonames_htl,2
4,geo_found+geo_from_dest+gmaps_not_found,1
4,wikivoyage-en+local,1
4,gmaps_not_found,1
5,geo_from_dest,1129
5,geonames_htl,637
5,hotel_centroid,248
5,local,230
5,geo_found,89
5,tbo,68
5,turad,32
5,wikivoyage-en,31
5,geonames_htl+geo_from_dest,29
5,geo_not_found,24
5,geonames_htl+wikivoyage-listing,23
5,gmaps_not_found,19
5,geo_from_dest+wikivoyage-listing,17
5,geo_from_dest+geonames_htl,17
5,wikivoyage-en+geo_from_dest,16
5,geo_found+geo_from_dest,11
5,geo_found+geo_from_dest+geonames_htl,8
5,(null),5
5,osm,5
5,rejected_geo,5
5,local+geonames_htl+geo_from_dest,2
5,local+wikivoyage-listing,2
5,wikivoyage-en+wikivoyage-listing,2
5,geo_not_found+geo_from_dest,2
5,gmaps_scraper,2
5,local+geo_from_dest,2
5,gmaps_not_found+geo_from_dest,1
5,tbo+geonames_htl+wikivoyage-listing,1
5,tbo+wikivoyage-listing,1
5,geo_not_found+geo_from_dest+geonames_htl,1
5,wikivoyage-en+tbo,1
5,geo_from_dest+gmaps_not_found,1
5,local+gmaps_not_found,1
5,wikivoyage-en+geo_from_dest+geonames_htl,1
5,wikivoyage-en+geonames_htl+geo_from_dest,1
5,geo_found+wikivoyage-listing,1
5,rejected_geo+geo_from_dest+geonames_htl,1
,,
== Por Estrelas (SEM coords),,
Estrelas,Total,%
2,126,0.6
3,19117,98.5
4,16,0.1
5,146,0.8
,,
== Por Fonte (SEM coords),,
Fonte,Total,%
local,6344,32.7
hotel_centroid,6121,31.5
gmaps_not_found,2297,11.8
(null),1954,10.1
geo_not_found,1848,9.5
wikivoyage-listing,691,3.6
local+wikivoyage-listing,144,0.7
geo_from_dest,5,0
wikivoyage-listing+geo_not_found,1,0
