destino_id,destino_nome,pais,pais_code,hotel_count
22252,Stendal,XX,XX,14
23753,Upper Marlboro,XX,XX,14
24141,Törökbálint,XX,XX,14
26467,Ahmedabad Heritage Walk,XX,XX,14
15472,Sandy Hook,XX,XX,14
26629,Maardu,XX,XX,14
24043,Marilao,XX,XX,14
22746,Kaieteur National Park,XX,XX,13
25943,Akwanga,XX,XX,13
20302,Tonawanda,XX,XX,13
20148,Schiller Park,XX,XX,13
18317,Waldport,XX,XX,13
23827,Franconian cuisine,XX,XX,13
20994,Novi Pazar,XX,XX,13
24390,Market Harborough,XX,XX,13
27010,Tayug,XX,XX,13
27870,Falset,XX,XX,13
21097,San Francisco International Airport,XX,XX,13
12356,Mount Rainier National Park,XX,XX,13
26468,Sragen,XX,XX,13
27533,Binjai,XX,XX,13
26535,Sidoarjo,XX,XX,13
23717,Banda Neira,XX,XX,13
24435,Valemount,XX,XX,13
22772,Llantrisant,XX,XX,13
16238,Sitapur,XX,XX,13
26220,Saint-Denis-sur-Richelieu,XX,XX,13
27140,Amer,XX,XX,13
15429,San Bruno,XX,XX,13
27254,Kyustendil,XX,XX,13
18314,Walcha,XX,XX,13
24357,Skopje/Matka Canyon,XX,XX,13
26291,Payakumbuh,XX,XX,13
23854,Himarë,XX,XX,13
17784,Tuvalu,XX,XX,13
16501,Southwest Harbor,XX,XX,13
24205,Wood Islands,XX,XX,13
18525,Western Galilee,XX,XX,13
28311,Mandalika,XX,XX,13
26540,Aléria,XX,XX,13
27178,Culturally significant landscapes in Granada,XX,XX,13
27490,Razgrad,XX,XX,13
18917,Yarra Valley,XX,XX,13
28010,Marettimo,XX,XX,13
11548,Marina del Rey,XX,XX,13
24189,Yuanshan,XX,XX,13
24061,Shuangxi,XX,XX,13
23487,Kfar Saba,XX,XX,13
25359,Batiscan,XX,XX,13
20167,Garh Panchkot,XX,XX,13
27980,Val di Mazara Wine Region,XX,XX,13
24027,Taishan District,XX,XX,13
20858,Arlington National Cemetery,XX,XX,13
25520,Tong,XX,XX,13
22999,Karlsöarna,XX,XX,13
27297,Ahuachapan,XX,XX,13
28437,Alta Via 2,XX,XX,13
22504,Standing Rock,XX,XX,13
24714,Beigang,XX,XX,13
16193,Simunjan,XX,XX,13
26873,Kurikka,XX,XX,13
26497,Bibiani,XX,XX,12
23771,Devils Marbles Conservation Reserve,XX,XX,12
25339,Lac-Édouard,XX,XX,12
26140,Kaltungo,XX,XX,12
28199,Ahualulco,XX,XX,12
26261,Aguanish,XX,XX,12
17622,Trashigang,XX,XX,12
25386,Barranquitas,XX,XX,12
15441,Sancti Spíritus,XX,XX,12
25721,Azare,XX,XX,12
11085,Los Olivos,XX,XX,12
22868,Little Valley,XX,XX,12
26429,Marieville,XX,XX,12
19583,Ramanattukara,XX,XX,12
15825,Diving in the British Virgin Islands,XX,XX,12
23441,Marvel Cinematic Universe,XX,XX,12
27811,Sort,XX,XX,12
28319,Hechuan,XX,XX,12
25063,Omu-Aran,XX,XX,12
22222,Swiss Alps Jungfrau-Aletsch,XX,XX,12
18916,Yarragon,XX,XX,12
25523,Repentigny,XX,XX,12
26098,Culturally significant landscapes in Almería,XX,XX,12
17343,Thong Sala,XX,XX,12
25230,Areni,XX,XX,12
21082,Sainte-Anne-des-Monts,XX,XX,12
