"destino_id","destino_nome","pais_encontrado","hotel_count","classificacao","acao","prioridade_acao","latitude","longitude","motivo"
"25152","Cross River National Park","United Kingdom","5","real","manter","","52.189177","-1.4942701","lugar (/water, imp=0.11) (nome limpo)"
"27580","Gresford","United Kingdom","5","real","manter","","53.0855069","-2.971985","lugar (/village, imp=0.41)"
"23991","Kashmar","Iran","5","real","manter","","35.2446715","58.4641341","lugar (/administrative, imp=0.54)"
"24405","Voyages of Roald Amundsen","Italia","5","real","manter","","45.4254445","11.8533095","lugar (photon: highway/residential)"
"19558","Fox River Valley","United States","5","real","manter","","43.9809954","-88.6515984","POI com nome correspondente (photon: landuse/industrial)"
"26875","Alavus","Finland","5","real","manter","","62.5862041","23.6185286","lugar (/administrative, imp=0.48)"
"21414","El Pital","Colombia","5","real","manter","","6.8628553","-76.1285063","lugar (/administrative, imp=0.21)"
"25880","Abor","Nigeria","5","real","manter","","5.5045281","7.142919","lugar (/village, imp=0.15)"
"23764","Graciosa (Canary Islands)","Spain","5","real","manter","","29.2537557","-13.5061993","lugar (/island, imp=0.41)"
"15615","Santa Paula","United States","5","real","manter","","34.3541659","-119.0592705","lugar (/administrative, imp=0.47)"
"26289","Kemaliye","Turkey","5","real","manter","","39.2620966","38.4965266","lugar (/administrative, imp=0.43)"
"15291","St. Marks","United States","5","real","manter","","30.1612024","-84.2064795","lugar (/administrative, imp=0.43)"
"23812","Naukuchiatal","India","5","real","manter","","29.3238576","79.5884609","lugar (photon: place/village)"
"27347","Rio Kruta National Park","Honduras","5","real","manter","","15.1145137","-83.4356894","lugar pequeno (/national_park, imp=0.07)"
"19857","Sapucaia do Sul","Brazil","5","real","manter","","-29.8197019","-51.1608722","lugar (/administrative, imp=0.54)"
"18005","Vals","France","5","real","manter","","44.6553304","4.365739","lugar (/administrative, imp=0.55)"
"25706","Misau","Nigeria","5","real","manter","","11.3861194","10.4685521","lugar (/administrative, imp=0.34)"
"27940","Jämtlandsleden","Norge","5","real","manter","","63.6845083","11.9757908","nao encontrado; classificado como real (provavelmente existe); coords via photon"
"27258","Juan Griego","Venezuela","5","real","manter","","11.0720749","-63.9651963","lugar (/administrative, imp=0.30)"
"26577","Chuadanga","Bangladesh","5","real","manter","","23.6436608","88.846448","lugar (/city, imp=0.29)"
"28175","Balagarh","India","5","real","manter","","23.1187722","88.4336617","lugar (/administrative, imp=0.42)"
"23188","Sinjar","Iraq","5","real","manter","","36.3192729","41.8598585","lugar (/town, imp=0.51)"
"26630","Villagarzón","Colombia","5","real","manter","","1.0306708","-76.61691","lugar (/town, imp=0.34)"
"19466","Loganville","United States","5","real","manter","","33.8389977","-83.9007382","lugar (/administrative, imp=0.44)"
"10381","La Alpujarra","Spain","5","real","manter","","38.631852","-2.0008976","lugar pequeno (/locality, imp=0.07)"
"24722","Bijagua de Upala","Costa Rica","5","real","manter","","10.731129","-85.0576419","lugar (/administrative, imp=0.31)"
"25387","Canóvanas","United States","5","real","manter","","18.3330069","-65.8872963","lugar (/administrative, imp=0.46)"
"17134","Tarpon Springs","United States","5","real","manter","","28.1470965","-82.756367","lugar (/administrative, imp=0.47)"
"22428","Šariš","Slovakia","5","real","manter","","49.1357175","21.1861204","lugar (/region, imp=0.49)"
"28097","Inca","Spain","5","real","manter","","39.7211448","2.9111493","lugar (/administrative, imp=0.50)"
"12853","New River and Greenbrier Valleys","United States","5","real","manter","","37.1967374","-80.4012536","ambiguo (photon: healthcare/physiotherapist); classificado como real (provavelmente existe)"
"21997","Dolores (Guatemala)","Guatemala","5","real","manter","","16.5117548","-89.4161216","lugar (/administrative, imp=0.31)"
"25036","Dharawal National Park","Australia","5","real","manter","","-34.1980835","150.8581075","lugar (/nature_reserve, imp=0.39)"
"28316","Daisen (Akita)","Japan","5","real","manter","","39.4530067","140.4757635","lugar (/administrative, imp=0.49)"
"26327","Deep Creek National Park","Australia","5","real","manter","","-35.6327189","138.2517867","lugar (/nature_reserve, imp=0.38)"
"24428","Haltern am See","Germany","5","real","manter","","51.7430516","7.187221","lugar (/administrative, imp=0.48)"
"25785","Ukanafun","Nigeria","5","real","manter","","4.9038458","7.6055028","lugar (/administrative, imp=0.30)"
"23510","Calatagan","Philippines","5","real","manter","","13.8329908","120.6326233","lugar (/administrative, imp=0.38)"
"25861","Jikwoyi","Nigeria","5","real","manter","","8.983983","7.5641475","POI real (photon: amenity/police)"
"27411","Ïle à Vache","Haiti","5","real","manter","","18.0830114","-73.607808","lugar (/island, imp=0.45)"
"26880","Kallaste","Estonia","5","real","manter","","58.6631199","27.1631379","lugar (/administrative, imp=0.45)"
"19436","Sullivan's Island","United States","5","real","manter","","32.7616052","-79.8365159","lugar (/administrative, imp=0.46)"
"22804","Grand Ronde","United States","5","real","manter","","45.060069","-123.6229392","lugar (/census, imp=0.37)"
"26562","Lapinjärvi","Finland","5","real","manter","","60.6273036","26.1981468","lugar (/administrative, imp=0.46)"
"28207","Bolton Valley","United States","5","real","manter","","44.416553","-72.8546535","lugar pequeno (/census, imp=0.07)"
"21106","Ai-Khanoum","افغانستان","5","real","manter","","37.1666578","69.4109352","POI real (photon: historic/archaeological_site)"
"26494","Ahwiaa","Ghana","5","real","manter","","6.7599112","-1.5958768","lugar (/suburb, imp=0.15)"
"27149","Sidikalang","Indonesia","5","real","manter","","2.7471463","98.3200836","lugar (/administrative, imp=0.34)"
"26509","Rwamagana","Rwanda","5","real","manter","","-1.9787489","30.3539417","lugar (/administrative, imp=0.37)"
"25743","Unwana","Nigeria","5","real","manter","","5.7958008","7.9323308","lugar (/town, imp=0.16)"
"25280","Malasiqui","Philippines","5","real","manter","","15.9199144","120.4138181","lugar (/administrative, imp=0.43)"
"16150","Sigmaringen","Germany","5","real","manter","","48.0869139","9.2165039","lugar (/administrative, imp=0.55)"
"26591","Chesapeake City","United States","5","real","manter","","39.5271001","-75.8124776","lugar (/administrative, imp=0.39)"
"24124","Aparri","Philippines","5","real","manter","","18.3573529","121.6374711","lugar (/town, imp=0.42)"
"15579","Santa Barbara County","United States","5","real","manter","","34.7136533","-119.985823","lugar (/administrative, imp=0.60)"
"26281","El-Obeid","Sudan","5","real","manter","","13.183366","30.222559","lugar (/city, imp=0.46)"
"24116","Anaklia","Georgia","5","real","manter","","42.3954083","41.5657276","lugar (/administrative, imp=0.40)"
"15943","Severna Park","United States","5","real","manter","","39.0826193","-76.5719676","lugar (/statistical, imp=0.43)"
"15614","Santa Nella","United States","5","real","manter","","37.101727","-121.0127921","lugar (/census, imp=0.36)"
"12633","Narayanpur","India","5","real","manter","","19.5842032","81.1136986","lugar (/administrative, imp=0.51)"
"15511","San Isidro de El General","Costa Rica","5","real","manter","","9.3706169","-83.7046444","lugar (/administrative, imp=0.41)"
"26520","Kanchrapara","India","5","real","manter","","22.9496431","88.4378838","lugar (/town, imp=0.45)"
"25678","Yakurr","Nigeria","5","real","manter","","5.8176086","8.1779057","lugar (/administrative, imp=0.27)"
"26324","Pribaikalsky National Park","United States","5","real","manter","","38.8939168","-77.0426534","nao encontrado; classificado como real (provavelmente existe); coords via photon"
"26258","Panihati","India","5","real","manter","","22.6950342","88.4073585","lugar (/town, imp=0.16)"
"18533","Western Waterlands","South Africa","5","real","manter","","-33.9824325","18.6959155","lugar (photon: highway/residential)"
"28188","Maynaguri","India","5","real","manter","","26.5652519","88.8221321","lugar (/town, imp=0.43)"
"21365","Antelope Island","United States","5","real","manter","","40.9568513","-112.210403","lugar (/island, imp=0.35)"
"21416","Carcar","Philippines","5","real","manter","","10.1055552","123.6406685","lugar (/city, imp=0.47)"
"23036","Igaliku","Greenland","5","real","manter","","60.9891376","-45.4210436","lugar (/village, imp=0.44)"
"25657","Ukhun","Nigeria","5","real","manter","","6.806786","6.174748","lugar (/village, imp=0.15)"
"16500","Rivierenland","Netherlands","5","real","manter","","51.8568423","5.3528913","lugar (/administrative, imp=0.31)"
"15697","Satara","India","5","real","manter","","17.6361289","74.2982781","lugar (/administrative, imp=0.52)"
"27514","Kruszwica","Poland","5","real","manter","","52.6743797","18.3254766","lugar (/administrative, imp=0.46)"
"25495","Americus","United States","5","real","manter","","32.0723862","-84.2326876","lugar (/administrative, imp=0.49)"
"15666","Sarahan","India","5","real","manter","","31.5093363","77.7930108","lugar (/town, imp=0.16)"
"28393","Taichung/Mountain Line","臺灣","5","real","manter","","24.1099145","120.6160956","ambiguo (photon: railway/subway); classificado como real (provavelmente existe)"
"16115","Shushtar","Iran","5","real","manter","","32.0492034","48.851281","lugar (/administrative, imp=0.52)"
"28180","Sant Joan de les Abadesses","Spain","5","real","manter","","42.233743","2.2854845","lugar (/administrative, imp=0.52)"
"25821","Agenebode","Nigeria","5","real","manter","","7.1055848","6.6968575","lugar (/town, imp=0.16)"
"24573","Narayanganj","Bangladesh","5","real","manter","","23.6236732","90.4988075","lugar (/city, imp=0.43)"
"26560","Deulti","India","5","real","manter","","22.4533543","87.9146643","lugar (/station, imp=0.30)"
"25794","Eleme","Nigeria","5","real","manter","","4.7506524","7.1474252","lugar (/administrative, imp=0.32)"
"21446","Aqqala","Iran","5","real","manter","","37.0134841","54.4576664","lugar (/administrative, imp=0.43)"
"17097","Tanjung Batu","Indonesia","5","real","manter","","-3.3377766","104.6121138","lugar (/administrative, imp=0.27)"
"26095","Parras de la Fuente","Mexico","5","real","manter","","25.4436602","-102.1782179","lugar (/town, imp=0.16)"
