"destino_id","destino_nome","pais_encontrado","hotel_count","motivo"
"26132","Lidingö history tour","XX","14","conceito (sem correspondencia geografica)"
"27649","East Central Regional Rail Trail","United States","14","conceito; match fraco (imp=0.04)"
"26467","Ahmedabad Heritage Walk","XX","14","conceito (sem correspondencia geografica)"
"23827","Franconian cuisine","XX","13","conceito (sem correspondencia geografica)"
"27178","Culturally significant landscapes in Granada","XX","13","conceito (nao encontravel como lugar)"
"22222","Swiss Alps Jungfrau-Aletsch","Schweiz/Suisse/Svizzera/Svizra","12","conceito; POI (photon: information/map)"
"26098","Culturally significant landscapes in Almería","XX","12","conceito (nao encontravel como lugar)"
"24938","National Route 83","AU","12","conceito (sem correspondencia geografica)"
"22784","Nordic Noir","Deutschland","12","conceito; POI (photon: information/map)"
"24368","Wildlife of the Southern Ocean","United States","12","conceito; POI (photon: information/board)"
"28441","Diwali","United Kingdom","12","conceito; match fraco (imp=0.00)"
"19874","Nuclear tourism","XX","11","conceito (sem correspondencia geografica)"
"21163","Indus Valley Civilisation","IN","9","conceito (sem correspondencia geografica)"
"22523","Christmas and New Year travel","ES","9","conceito (sem correspondencia geografica)"
"26571","The Oranges","Australia","9","conceito; match fraco (imp=0.13)"
"23291","Korean cuisine","China","8","conceito; match fraco (imp=0.00)"
"27275","Ezeagu Tourist Complex","XX","8","conceito (sem correspondencia geografica)"
"27605","Snorkeling and freediving in Mauritius","XX","7","conceito (nao encontravel como lugar)"
"16953","Syrian Desert","سوريا","7","conceito; POI (photon: shop/bakery)"
"26712","Etruscans","IT","7","conceito (nao encontravel como lugar)"
"22038","Landscapes from Palagia coast range","XX","7","conceito (nao e lugar real)"
"19245","Hiking and backpacking in Israel","XX","7","conceito (sem correspondencia geografica)"
"26111","Culturally significant landscapes in Jaén","XX","7","conceito (nao encontravel como lugar)"
"22898","Star Wars tourism","XX","6","conceito (sem correspondencia geografica)"
"27230","Workers’ Assembly Halls","AU","6","conceito (nao e lugar real)"
"26699","The Plandomes","XX","6","conceito (sem correspondencia geografica)"
"21626","Algal bloom","XX","5","conceito (nao e lugar real)"
"28466","Street-running trains","VN","5","conceito (nao e lugar real)"
"23214","Atlantic slave trade","France","5","conceito (nao e lugar real)"
"28186","Elroy-Sparta State Trail","United States","5","conceito; match fraco (imp=0.04)"
"26544","Holy Roman Empire","XX","5","conceito (sem correspondencia geografica)"
"19522","Diving the Alderman Islands","NZ","5","conceito (nao encontravel como lugar)"
"27161","Korean palaces","CN","4","conceito (nao e lugar real)"
"27515","History of medicine","Ukraine","4","conceito; match fraco (imp=0.24)"
"20269","Golan Trail","Israel","4","conceito; match fraco (imp=0.04)"
"27983","Stagnone Lagoon and Islands Nature Reserve","XX","4","conceito (sem correspondencia geografica)"
"24011","Driving in Japan","日本","4","conceito/tema de viagem (nao e lugar real)"
"27523","Scott Pilgrim locations","日本","4","conceito/tema de viagem (nao e lugar real)"
"27486","Stockholm Archipelago Trail","XX","3","conceito (sem correspondencia geografica)"
"27381","Stockholm harbour tour","XX","3","conceito (sem correspondencia geografica)"
"26063","Hiking in Réunion","XX","3","conceito (sem correspondencia geografica)"
"22181","Archipelago Trail","Finland","3","conceito; match fraco (imp=0.00)"
"19154","Diving in New Zealand","NZ","3","conceito (nao encontravel como lugar)"
"21360","Icelandic hot springs","United States","3","conceito/tema de viagem (nao e lugar real)"
"26990","Ingmar Bergman tourism","XX","2","conceito (sem correspondencia geografica)"
"26100","Jane Austen tourism","XX","2","conceito (sem correspondencia geografica)"
"22004","Tour of notable villas in Esino Lario","XX","2","conceito (sem correspondencia geografica)"
"24001","Architecture of Frank Lloyd Wright","XX","2","conceito (sem correspondencia geografica)"
"20913","Travels of Hans Christian Andersen","Danmark","2","conceito/tema de viagem (nao e lugar real)"
"24303","Travelling with military responsibilities","XX","2","conceito/tema de viagem (nao e lugar real)"
"24340","Boating in Finland","India","2","conceito/tema de viagem (nao e lugar real)"
