id,nome,pais_code,hotels,type_note
27771,"Monte Leon National Park",AR,3,topic/activity
16895,"Svealand",SE,3,potential place — needs geocoding
16473,"South Jutland",DK,3,potential place — needs geocoding
25623,"Dibulla",CO,3,potential place — needs geocoding
17416,"Tiritiri Matangi Island",NZ,3,potential place — needs geocoding
22938,"Auvergne-Rhône-Alpes",FR,3,potential place — needs geocoding
15002,"Robben Island",PT,3,potential place — needs geocoding
19428,"Barra de Potosí",MX,3,potential place — needs geocoding
27349,"Irabu",JP,3,potential place — needs geocoding
26774,"Fertile Crescent",TR,3,potential place — needs geocoding
21726,"Gränna",SE,3,potential place — needs geocoding
26263,"Palashi",IN,3,potential place — needs geocoding
26653,"Constitution 1857 National Park",MX,3,topic/activity
26691,"Paltamo",FI,3,potential place — needs geocoding
26119,"Patagonia National Park (Chile)",CL,3,topic/activity
17618,"Trans-Siberian Railway",CN,3,potential place — needs geocoding
17772,"Turtle Islands Park",PH,3,potential place — needs geocoding
27810,"Murjek",NO,3,potential place — needs geocoding
16987,"Tada Falls",IN,2,potential place — needs geocoding
25949,"Paparoa National Park",NZ,2,topic/activity
22576,"Hvaler",NO,2,potential place — needs geocoding
24340,"Boating in Finland",NL,2,topic/activity
25487,"Szada",HU,2,potential place — needs geocoding
23785,"Eungella National Park",AU,2,topic/activity
28193,"Ichkabal",MX,2,potential place — needs geocoding
26658,"Cabo de Hornos National Park",CL,2,topic/activity
24225,"Karkali Strict Nature Reserve",FI,2,topic/activity
27773,"Río Pilcomayo National Park",AR,2,topic/activity
27869,"La Parva",CL,2,potential place — needs geocoding
23751,"Hardap",ZA,2,potential place — needs geocoding
20519,"Val Camonica",IT,2,potential place — needs geocoding
16355,"Solomon Islands",PE,2,potential place — needs geocoding
26315,"Rangsang",ID,2,potential place — needs geocoding
20913,"Travels of Hans Christian Andersen",DK,2,topic/activity
18555,"West Kalimantan",ID,2,potential place — needs geocoding
26027,"Vännäs",SE,2,potential place — needs geocoding
26564,"Damphu",IN,2,potential place — needs geocoding
20153,"Varvara",TR,2,potential place — needs geocoding
23250,"Tuktut Nogait National Park",CA,2,topic/activity
20356,"Angangueo",MX,2,potential place — needs geocoding
26196,"Fossholl",IS,2,potential place — needs geocoding
22356,"Mount Gede Pangrango National Park",ID,2,topic/activity
23234,"Bruce Peninsula National Park",CA,2,topic/activity
24127,"Top Gear Vietnam special",VN,1,topic/activity
22564,"Inlandsbanan",SE,1,potential place — needs geocoding
28303,"Y Ty",VN,1,potential place — needs geocoding
21691,"Sunwal",CN,1,potential place — needs geocoding
28172,"Zapotec phrasebook",MX,1,topic/activity
27293,"Llullaillaco National Park",CL,1,topic/activity
25982,"Charlevoix Biosphere Reserve",CA,1,potential place — needs geocoding
26600,"Garden Castle Nature Reserve",ZA,1,topic/activity
28474,"Riung",ID,1,potential place — needs geocoding
25573,"Marie-Jean-Eudes Ecological Reserve",CA,1,potential place — needs geocoding
22214,"Khangchendzonga National Park",IN,1,topic/activity
25927,"Western Tasmania",AU,1,potential place — needs geocoding
25329,"Stuorrahanoaivi trek",FI,1,topic/activity
26368,"Vinicunca",PE,1,potential place — needs geocoding
16467,"South and West Gippsland",AU,1,potential place — needs geocoding
19185,"Finland Proper",FI,1,potential place — needs geocoding
27152,"Nordfjord",NO,1,potential place — needs geocoding
23233,"Aulavik National Park",CA,1,topic/activity
16502,"Southwest Iceland",IS,1,potential place — needs geocoding
