id,nome,pais_code,pais,hotelCount
11956,"Milford Sound",NZ,NZ,13
20547,"Minca",DE,DE,13
24492,"New Administrative Capital (Egypt)",EG,EG,13
22921,"Novo Selo",MK,MK,13
14095,"Pisac",PE,PE,13
26840,"Pomarkku",FI,FI,13
15912,"Senmonorom",KH,KH,13
21720,"Signs",ES,ES,13
24853,"Souris (Manitoba)",CA,CA,13
25985,"Sprengisandur",IS,IS,13
16693,"Stołowe Mountains National Park",ZA,ZA,13
17573,"Tory Island",IE,IE,13
17706,"Tsitsikamma National Park",ZA,ZA,13
18273,"Wadden Sea National Park",DE,DE,13
18380,"Wartrail and New England",ZA,ZA,13
18775,"Wonsan",KP,KP,13
20241,"Bayham (Ontario)",CA,CA,12
20290,"Biesbosch National Park",NL,NL,12
4400,"Birgunj",NP,NP,12
24224,"Bothnian Sea National Park",FI,FI,12
25486,"Cape Byron State Conservation Area",TR,TR,12
20396,"Clinton (Ontario)",CA,CA,12
28441,"Diwali",GB,GB,12
7064,"Elba",EE,EE,12
19806,"Gasan",IN,IN,12
24774,"Hämeenkyrö",FI,FI,12
9054,"Ilgaz National Park",TR,TR,12
20366,"Innisfail (Queensland)",AU,AU,12
23265,"Jementah",MY,MY,12
20603,"Lemmenjoki National Park",NO,NO,12
22601,"Lord of the Rings tourism",NZ,NZ,12
26724,"Micronations",AU,AU,12
12147,"Monte Albán",MX,MX,12
24938,"National Route 83",AU,AU,12
13002,"North Coast-Nechako",CA,CA,12
22941,"Occitanie",ES,ES,12
13551,"Oze National Park",JP,JP,12
14258,"Poring Hot Spring",MY,MY,12
14532,"Puerto Varas",CL,CL,12
21761,"Sacheon",KR,KR,12
16328,"Sodwana Bay",ZA,ZA,12
24960,"Somero",FI,FI,12
27371,"Tamsahelte",MA,MA,12
19363,"Waihi Beach",NZ,NZ,12
3279,"Angola (Indiana)",US,US,11
3291,"Anlong Veng",KH,KH,11
4129,"Beirut/Verdun",LB,LB,11
25356,"Budderoo National Park",AU,AU,11
21828,"Central Bohemian Uplands",CZ,CZ,11
5603,"Charleville",FR,FR,11
27298,"Concepción de Ataco",SV,SV,11
26839,"Cuetzalan",MX,MX,11
7128,"Elmira (Ontario)",DE,DE,11
26124,"Glass House Mountains",AU,AU,11
23084,"Hajdú-Bihar County",HU,HU,11
24182,"Hanna (Alberta)",CA,CA,11
9016,"Ibarra",EC,EC,11
21597,"Indigenous cultures of South America",PT,PT,11
25950,"Karijini National Park",AU,AU,11
9977,"King's Highway",FI,FI,11
21297,"Knokke-Heist",BE,BE,11
20220,"Lordsburg",US,US,11
11293,"Magnolia (Arkansas)",US,US,11
27204,"Maxcanú",MX,MX,11
26567,"Oribi Gorge Nature Reserve",ZA,ZA,11
26701,"Paanajärvi National Park",FI,FI,11
14314,"Port Klang",MY,MY,11
20925,"Saint-Claude",FR,FR,11
16180,"Silverton (Colorado)",US,US,11
16506,"Southwest Washington",CA,CA,11
26681,"St. Christoph",AT,AT,11
26518,"Tambrauw Regency",ID,ID,11
26528,"Toivakka",FI,FI,11
27628,"Tonatico",MX,MX,11
26619,"Utajärvi",FI,FI,11
18297,"Wairarapa",NZ,NZ,11
3744,"Baiona",ES,ES,10
4253,"Bermuda",IE,IE,10
21725,"Berrima",AU,AU,10
27443,"Bieszczady National Park",PL,PL,10
4543,"Bol",TD,TD,10
25858,"Bonham (Texas)",US,US,10
22954,"Cambron-Casteau",BE,BE,10
5325,"Carnarvon",AU,AU,10
22523,"Christmas and New Year travel",ES,ES,10
6346,"Culebra",PR,PR,10
7531,"Forestville",AU,AU,10
22725,"Great Otway National Park",AU,AU,10
8548,"Hasle",DK,DK,10
24923,"Hill stations in Pakistan",IN,IN,10
19658,"Hveragerði",IS,IS,10
26911,"Inland Central Ostrobothnia",FI,FI,10
9353,"Jökulsárlón",IS,IS,10
9980,"Kingaroy",AU,AU,10
2482,"Londres/Camden",US,US,10
11229,"Machadodorp",ZA,ZA,10
24626,"Mismaloya",MX,MX,10
21036,"Nera Gorge-Beușnița National Park",RO,RO,10
12913,"Nikel",AL,AL,10
13155,"Nové Město pod Smrkem",PL,PL,10
13298,"Ojców National Park",PL,PL,10
13364,"Omarama",NZ,NZ,10
26574,"Oripää",FI,FI,10
13661,"Pamirs",CN,CN,10
25153,"Philosophy tourism",CH,CH,10
24299,"Sakura",JP,JP,10
16440,"Southern Tasmania",AU,AU,10
16529,"Spencer (West Virginia)",US,US,10
22989,"Swiss National Park",IT,IT,10
21523,"Tenhippalam",BR,BR,10
17757,"Tunku Abdul Rahman National Park",MY,MY,10
17849,"Uliastai",MN,MN,10
21488,"Vacation camp",FR,FR,10
18614,"Whangaroa",NZ,NZ,10
21979,"Wheaton (Illinois)",BR,BR,10
21747,"20th-century South Africa",ZA,ZA,9
3841,"Bandel",PT,PT,9
22318,"Banten (town)",ID,ID,9
258,"Bermudas",GB,GB,9
27308,"Border Ranges National Park",AU,AU,9
28115,"Botnialeden",SE,SE,9
25150,"Braveheart tourism",IE,IE,9
5422,"Catoosa",US,US,9
20257,"Cimaja",ID,ID,9
27971,"Cimarron",MX,MX,9
23856,"Fortune",US,US,9
27939,"Gränsleden",NO,NO,9
26871,"Haapavesi",FI,FI,9
22137,"Holašovice",CZ,CZ,9
23931,"Horse racing",AU,AU,9
21163,"Indus Valley Civilisation",IN,IN,9
22501,"Irvinestown",IE,IE,9
6179,"Jim Corbett National Park",IN,IN,9
24773,"Juupajoki",FI,FI,9
22385,"Kornati National Park",HR,HR,9
26704,"Kärsämäki",FI,FI,9
19499,"Lauca National Park",CL,CL,9
23087,"Le Locle",CH,CH,9
11295,"Magnolia (Texas)",US,US,9
11558,"Marion Bay",AU,AU,9
26572,"Mkuze Game Reserve",ZA,ZA,9
26184,"Nightcap National Park",AU,AU,9
13606,"Paksan",LA,LA,9
14633,"Quechua phrasebook",AR,AR,9
19438,"Rathlin Island",IE,IE,9
14826,"Red Rock (Ontario)",CA,CA,9
16119,"Siargao",PH,PH,9
19395,"Spiritwood",CA,CA,9
15743,"São Filipe",CV,CV,9
22198,"T. Narsipur",IN,IN,9
23938,"Tamu",MM,MM,9
17430,"Tissamaharama",LK,LK,9
17534,"Torbay",CA,CA,9
17993,"Valles Calchaquíes",AR,AR,9
18027,"Vanderkloof",ZA,ZA,9
18252,"Voyageurs National Park",CA,CA,9
26219,"Vuolijoki",FI,FI,9
18352,"Ward",NZ,NZ,9
25832,"Weslaco (Texas)",MX,MX,9
18583,"West Rand",ZA,ZA,9
24659,"Whataroa",NZ,NZ,9
22630,"Addington Highlands",CA,CA,8
2815,"Ako",JP,JP,8
19937,"Arau",CH,CH,8
3424,"Arizona",BR,BR,8
163,"Assunção",BR,BR,8
166,"Atenas",GR,GR,8
215,"Barbados",VE,VE,8
2327,"Belmonte",BR,BR,8
2653,"Birmingham",US,US,8
21758,"Campbell Town",AU,AU,8
2598,"Canton",US,US,8
23189,"Carl Linnaeus tourism",NL,NL,8
20820,"Castletownbere",IE,IE,8
23003,"Chaitén",CL,CL,8
27704,"Chalcatzingo",MX,MX,8
20802,"Champlain and Rouses Point",CA,CA,8
5623,"Charm",MX,MX,8
5655,"Chedworth",GB,GB,8
6271,"Cradle of Humankind",ZA,ZA,8
19861,"Crewe (Virginia)",US,US,8
525,"Cuba",CU,CU,8
6732,"DMZ (Vietnam)",VN,VN,8
28345,"Dačice",CZ,CZ,8
7148,"El Salvador",PH,PH,8
7186,"Englewood (Florida)",MX,MX,8
611,"Escandinávia",NO,NO,8
26712,"Etruscans",IT,IT,8
7476,"Flaxmere",NZ,NZ,8
7627,"Fraser Valley",CA,CA,8
24448,"Friedrichstadt",DE,DE,8
26924,"Gedong Tataan",ID,ID,8
8270,"Guam",US,US,8
8389,"Hafjell",NO,NO,8
8744,"Hillsborough (Northern Ireland)",IE,IE,8
9181,"ISimangaliso Wetland Park",ZA,ZA,8
27961,"Ihuatzio",MX,MX,8
9334,"Japan's Top 3",JP,JP,8
21834,"Karesuando",SE,SE,8
911,"Katmandu",NP,NP,8
23291,"Korean cuisine",CN,CN,8
10281,"Kūaotunu",NZ,NZ,8
20513,"La Grange (Texas)",CZ,CZ,8
28369,"Lake Waikaremoana Great Walk",NZ,NZ,8
10582,"Laos",VN,VN,8
945,"Laos",VN,VN,8
2512,"Macau/Península",CN,CN,8
11524,"Maremma",IT,IT,8
1072,"Matina Franca",PT,PT,8
1085,"Melgaço",BR,BR,8
26340,"Modisi",ID,ID,8
21449,"Montebello (Quebec)",MX,MX,8
12317,"Mount Bandai",JP,JP,8
12398,"Muang Ngeun",TH,TH,8
22509,"Măcin Mountains National Park",RO,RO,8
12550,"Nahanni National Park Reserve",CA,CA,8
12658,"Nassau (Germany)",DE,DE,8
1190,"Nova Odessa",BR,BR,8
1203,"Novo Laredo",MX,MX,8
26209,"Nusantara",ID,ID,8
13387,"Opatija",HR,HR,8
1332,"Parque Nacional dos Lagos de Plitvice",HR,HR,8
14049,"Piha",NZ,NZ,8
25147,"RFDS tourism",AU,AU,8
23124,"Ramkhamhaeng National Park",TH,TH,8
15179,"Rust",US,US,8
26783,"Rääkkylä",FI,FI,8
2344,"Sa Pa",VN,VN,8
25550,"Sainte-Ursule",CA,CA,8
1616,"Salzburgo",AT,AT,8
15558,"San Patricio-Melaque",BR,BR,8
23363,"Sant'Erasmo",AT,AT,8
27101,"Savonranta",FI,FI,8
22332,"Sawarna",ID,ID,8
15881,"Sekupang",SG,SG,8
16439,"South East Queensland",AU,AU,8
22831,"Sulitjelma",NO,NO,8
16910,"Sweden",SE,SE,8
26845,"Tablas",PH,PH,8
1856,"Taipei",TW,TW,8
20793,"Thumrait",OM,OM,8
28422,"Tunuyán",AR,AR,8
17902,"Urban camping in Japan",JP,JP,8
2105,"Vila Nova de Gaia",PT,PT,8
18373,"Warrumbungle National Park",AU,AU,8
24287,"West Bohemian Spa Triangle",CZ,CZ,8
18639,"White Sands National Park",MX,MX,8
168,"Ática",GR,GR,8
175,"Áustria",AT,AT,8
23595,"Červená Lhota",CZ,CZ,8
3045,"Alderney",FR,FR,7
26420,"Ausgram",IN,IN,7
269,"Bloomington-Normal",PT,PT,7
21829,"Bohemian Switzerland National Park",DE,DE,7
27159,"Castellnou de Seana",ES,ES,7
22967,"Celts",ES,ES,7
28288,"Chapleau",CA,CA,7
21986,"Cumilla",IN,IN,7
22382,"Dugi Otok",HR,HR,7
26838,"E69",NO,NO,7
7371,"Fanø",FR,FR,7
26283,"Franquelin",CA,CA,7
28040,"General Terán",MX,MX,7
7888,"Ghangaria",IN,IN,7
7973,"Glenorchy",AU,AU,7
22115,"Grenå",DK,DK,7
12899,"Güzelyurt (Northern Cyprus)",TR,TR,7
26870,"Haapajärvi",FI,FI,7
23283,"Jasin",MY,MY,7
26178,"Jorgucat",GR,GR,7
28265,"K-pop",KR,KR,7
22815,"Kaechon",KP,KP,7
9809,"Kemaman",MY,MY,7
22578,"Kilbirnie",GB,GB,7
26155,"Kisantu",PT,PT,7
21663,"Krapinske Toplice",HR,HR,7
19454,"Marakele National Park",ZA,ZA,7
19514,"Merowe",SD,SD,7
19165,"Muurame",FI,FI,7
25731,"Nilpena Ediacara National Park",AU,AU,7
13086,"North Lombok",ID,ID,7
25964,"North Sea Trail",DE,DE,7
13450,"Oryol",RU,RU,7
13511,"Ouidah",BJ,BJ,7
13542,"Oxley Wild Rivers National Park",AU,AU,7
1320,"Parque Nacional de Comoé",PT,PT,7
